gene_name,name,pval,adj_pval,f_statistic,df1,df2,lfc,gene_name
RAC2,row_242,1.8055573589711856e-05,0.0016341348315474916,19.874968353123883,1,126.12654786093321,0.5459191047660916,RAC2
SLC25A1,row_2410,1.8307404347585148e-05,0.0016341348315474916,19.84430335997774,1,126.12654786093321,1.6489437310004291,SLC25A1
F8A3,row_2121,1.809929203280415e-05,0.0016341348315474916,19.869613672144563,1,126.12654786093321,4.241018846057142,F8A3
PTPN6,row_134,1.8808924094197573e-05,0.001654916621373755,19.784495082893216,1,126.12654786093321,1.3700237308001868,PTPN6
PATL2,row_1047,1.986516353158789e-05,0.0017232329886063354,19.66368238583339,1,126.12654786093321,1.8973975679043553,PATL2
HIST1H1E,row_123,2.122224830980727e-05,0.0018153864908347637,19.517733534433734,1,126.12654786093321,1.84302247994435,HIST1H1E
ADGRG1,row_355,2.440420782916546e-05,0.0020589796715045215,19.209810401006024,1,126.12654786093321,0.8182755148649383,ADGRG1
NME3,row_915,2.6650585667184137e-05,0.0021885460949891615,19.016167645001723,1,126.12654786093321,0.9516225670291025,NME3
ZBTB7A,row_4216,2.655126881582482e-05,0.0021885460949891615,19.02437126552954,1,126.12654786093321,1.6435409859184424,ZBTB7A
FPGS,row_1817,2.7844062384417927e-05,0.0022564681608635527,18.919955041312786,1,126.12654786093321,0.9996574101372594,FPGS
TNFSF14,row_152,3.05180509756313e-05,0.0024085256681014916,18.71883957496541,1,126.12654786093321,-1.2086289343690932,TNFSF14
CCND3,row_374,3.0425548858354613e-05,0.0024085256681014916,18.725491540882828,1,126.12654786093321,0.7754214622108666,CCND3
TMEM259,row_2552,3.08935748952781e-05,0.0024085256681014916,18.692044691400067,1,126.12654786093321,1.4731466705423268,TMEM259
SIAH2,row_1294,3.1477108627664986e-05,0.002423343900472358,18.651059930962436,1,126.12654786093321,1.772134868947759,SIAH2
CXCR6,row_1707,3.304307445599168e-05,0.0024519553683669004,18.5447920432995,1,126.12654786093321,-2.4208619066652983,CXCR6
NFKB1,row_287,3.2517922213683e-05,0.0024519553683669004,18.57984596445615,1,126.12654786093321,1.6355851431149724,NFKB1
FCRL6,row_1154,3.2803686305702526e-05,0.0024519553683669004,18.5607001853721,1,126.12654786093321,1.7313894380055714,FCRL6
CMTM3,row_1097,3.395542562318492e-05,0.0024896603144428085,18.485222829386526,1,126.12654786093321,0.9738356970427554,CMTM3
TUBA1A,row_142,3.4901404354270224e-05,0.0025230152633247825,18.425158075559946,1,126.12654786093321,1.0524118895346535,TUBA1A
UBE2V1,row_2320,3.522963348691854e-05,0.0025230152633247825,18.40470463936025,1,126.12654786093321,1.3535504301831502,UBE2V1
CRIP1,row_217,3.9892335534033165e-05,0.0028241022362541406,18.133474894947973,1,126.12654786093321,0.9169068387121655,CRIP1
RNF111,row_2945,4.204019966567931e-05,0.0029423362470558964,18.019245595638115,1,126.12654786093321,1.6688198131105603,RNF111
UVRAG,row_4143,4.3327730938897496e-05,0.00299837634665921,17.953592133555166,1,126.12654786093321,1.2699074192917426,UVRAG
NFATC2IP,row_4145,4.459420174282924e-05,0.003051729872600948,17.890926712226804,1,126.12654786093321,1.2179896420317833,NFATC2IP
GRAMD1A,row_1870,4.6847348511354115e-05,0.003161718725233706,17.78380274806169,1,126.12654786093321,1.413301588002826,GRAMD1A
RNF187,row_562,4.7228141373843305e-05,0.003161718725233706,17.766218976130148,1,126.12654786093321,1.8189549746941487,RNF187
CYFIP2,row_4906,5.133139498097936e-05,0.003399463028901633,17.585430643994254,1,126.12654786093321,0.846315029720894,CYFIP2
BAG3,row_077,5.32670763393857e-05,0.0034140261093890253,17.505205656236516,1,126.12654786093321,-2.1585310698342197,BAG3
TCEA1,row_689,5.251388098236517e-05,0.0034140261093890253,17.536062891122057,1,126.12654786093321,0.6821108099605917,TCEA1
CEBPD,row_136,5.279605452761256e-05,0.0034140261093890253,17.524450081315216,1,126.12654786093321,1.3383031796805653,CEBPD
AFF4,row_1546,5.5620642600101344e-05,0.003438402880987999,17.4115774026619,1,126.12654786093321,0.9928812054785752,AFF4
RBM38,row_500,5.47360805984431e-05,0.003438402880987999,17.446283710525233,1,126.12654786093321,1.1999300377546578,RBM38
PANK2,row_4284,5.582729145945768e-05,0.003438402880987999,17.403550602551476,1,126.12654786093321,1.373261536956923,PANK2
MMP23B,row_2991,5.6800989633932384e-05,0.0034637355955979164,17.366133143237516,1,126.12654786093321,1.113876603043367,MMP23B
SRM,row_660,6.0167269088841645e-05,0.0036330412776291736,17.24163819575319,1,126.12654786093321,2.4138579846119925,SRM
CTSW,row_487,6.078784699276966e-05,0.003634877180858916,17.219465437668,1,126.12654786093321,0.4654817609299023,CTSW
FAM43A,row_1089,6.255744918701907e-05,0.003669441233741433,17.157485546594934,1,126.12654786093321,-1.499107345814576,FAM43A
ODC1,row_1514,7.018228761817964e-05,0.0040778557494374375,16.909443407109016,1,126.12654786093321,1.434948066751721,ODC1
DNM2,row_3188,7.44425811140907e-05,0.004284970626931632,16.782576262742467,1,126.12654786093321,0.9220531182085403,DNM2
ATP5F1D,row_311,7.515377105917935e-05,0.004285852555124867,16.76212204981054,1,126.12654786093321,0.738659546497466,ATP5F1D
MFSD14C,row_2243,8.075580198094503e-05,0.0045215907672785495,16.607595692269452,1,126.12654786093321,2.1890376327785823,MFSD14C
SELENOO,row_2513,8.068231448158683e-05,0.0045215907672785495,16.60955104567263,1,126.12654786093321,2.2525262088201905,SELENOO
ARRDC1,row_2798,8.433532152022143e-05,0.004637689689670034,16.51448838143757,1,126.12654786093321,0.9461534797226572,ARRDC1
